Date,Close,High,Low,Open,currency_pair
1/1/2020,1.122082591,1.122838497,1.115946889,1.122082591,EUR/USD
1/2/2020,1.122082591,1.122712493,1.116682053,1.121893764,EUR/USD
1/3/2020,1.11714375,1.11806798,1.112569809,1.117081285,EUR/USD
1/6/2020,1.116196036,1.120824933,1.115809917,1.116245866,EUR/USD
1/7/2020,1.119799495,1.119946241,1.113486528,1.119582534,EUR/USD
1/8/2020,1.115473866,1.116520047,1.111086369,1.115573406,EUR/USD
1/9/2020,1.111321092,1.112223387,1.109508514,1.111444473,EUR/USD
1/10/2020,1.111111164,1.112099648,1.108622909,1.110925913,EUR/USD
1/13/2020,1.111666918,1.114466906,1.111407518,1.111654639,EUR/USD
1/14/2020,1.113573313,1.114578724,1.110555887,1.113449335,EUR/USD
1/15/2020,1.113089919,1.116345525,1.112025499,1.112966061,EUR/USD
1/16/2020,1.115400434,1.11719358,1.112978458,1.11526978,EUR/USD
1/17/2020,1.113957882,1.114500403,1.108758092,1.113800287,EUR/USD
1/20/2020,1.109459281,1.110494137,1.107750893,1.109520793,EUR/USD
1/21/2020,1.10969317,1.111976027,1.108647466,1.109643936,EUR/USD
1/22/2020,1.108561397,1.109779358,1.107162237,1.108585954,EUR/USD
1/23/2020,1.109643936,1.110321522,1.103703976,1.109754801,EUR/USD
1/24/2020,1.105522037,1.106084585,1.102122664,1.105534315,EUR/USD
1/27/2020,1.102535844,1.103996515,1.101006389,1.102633119,EUR/USD
1/28/2020,1.101976991,1.102657437,1.0998559,1.101964831,EUR/USD
1/29/2020,1.102256298,1.103022337,1.099323869,1.102292776,EUR/USD
1/30/2020,1.101685524,1.103655338,1.100824475,1.101406455,EUR/USD
1/31/2020,1.102912784,1.109016299,1.101794839,1.102876306,EUR/USD
2/3/2020,1.108979464,1.108905554,1.104349971,1.108905554,EUR/USD
2/4/2020,1.106292605,1.106561899,1.103387356,1.106292605,EUR/USD
2/5/2020,1.104728222,1.104850292,1.0998317,1.104472041,EUR/USD
2/6/2020,1.100231051,1.101285219,1.096551299,1.100049496,EUR/USD
2/7/2020,1.098297596,1.09869945,1.094690681,1.098104596,EUR/USD
2/10/2020,1.09493053,1.096130729,1.090959907,1.094870567,EUR/USD
2/11/2020,1.091345668,1.092700362,1.089348316,1.091226578,EUR/USD
2/12/2020,1.091941476,1.092499733,1.088707924,1.092180014,EUR/USD
2/13/2020,1.087594867,1.089087367,1.083552718,1.087642193,EUR/USD
2/14/2020,1.08459866,1.086248159,1.08313024,1.08459866,EUR/USD
2/17/2020,1.084175348,1.085400343,1.083024621,1.084057808,EUR/USD
2/18/2020,1.084010839,1.083900332,1.078690529,1.083705425,EUR/USD
2/19/2020,1.079540491,1.080847383,1.078360081,1.079470634,EUR/USD
2/20/2020,1.081009865,1.082100034,1.077957869,1.080964208,EUR/USD
2/21/2020,1.078799844,1.086366177,1.078771949,1.078771949,EUR/USD
2/24/2020,1.083905101,1.086366177,1.080847383,1.083858132,EUR/USD
2/25/2020,1.08491993,1.08817482,1.08317709,1.084904671,EUR/USD
2/26/2020,1.088199615,1.090358019,1.085564137,1.088100195,EUR/USD
2/27/2020,1.08858943,1.100570083,1.088565707,1.088565707,EUR/USD
2/28/2020,1.099722862,1.105277658,1.095158339,1.099553585,EUR/USD
3/2/2020,1.105131149,1.116407871,1.103728414,1.10525322,EUR/USD
3/3/2020,1.114404798,1.120749593,1.109730124,1.114429712,EUR/USD
3/4/2020,1.11806798,1.118568182,1.10969317,1.117730498,EUR/USD
3/5/2020,1.113908291,1.120448232,1.112173796,1.113908291,EUR/USD
3/6/2020,1.122384906,1.135473371,1.121390581,1.122384906,EUR/USD
3/9/2020,1.138602018,1.149583817,1.135679603,1.138615012,EUR/USD
3/10/2020,1.139796019,1.142295837,1.133414149,1.139743924,EUR/USD
3/11/2020,1.131650567,1.136596084,1.125900507,1.1316185,EUR/USD
3/12/2020,1.126151562,1.133285761,1.108082414,1.126075387,EUR/USD
3/13/2020,1.118493199,1.122132897,1.106537342,1.118355632,EUR/USD
3/16/2020,1.115536094,1.123540044,1.108868718,1.115959406,EUR/USD
3/17/2020,1.11632061,1.11890614,1.09579432,1.116333127,EUR/USD
3/18/2020,1.101552129,1.104500055,1.083188891,1.101685524,EUR/USD
3/19/2020,1.09615469,1.094558954,1.069793344,1.094343305,EUR/USD
3/20/2020,1.065734506,1.082989454,1.065450549,1.065848112,EUR/USD
3/23/2020,1.069438696,1.082485437,1.066041231,1.068752885,EUR/USD
3/24/2020,1.076461077,1.088850141,1.075338244,1.07647264,EUR/USD
3/25/2020,1.080263615,1.084951758,1.077017546,1.080123544,EUR/USD
3/26/2020,1.088956952,1.102548003,1.087653995,1.088755369,EUR/USD
3/27/2020,1.104825854,1.108647466,1.095518231,1.10461843,EUR/USD
3/30/2020,1.113908291,1.113784194,1.101224542,1.113536119,EUR/USD
3/31/2020,1.103046656,1.104362249,1.092967868,1.102839828,EUR/USD
